frame_number,spot_id,status,Coordinates
20,0,vacant,"[630, 210, 640, 259]"
20,1,occupied,"[16, 111, 82, 144]"
20,2,occupied,"[21, 143, 84, 174]"
20,3,occupied,"[34, 170, 88, 196]"
20,4,occupied,"[29, 197, 86, 222]"
20,5,occupied,"[26, 223, 90, 255]"
20,6,vacant,"[630, 210, 640, 259]"
20,7,occupied,"[21, 276, 89, 308]"
20,8,occupied,"[16, 309, 86, 340]"
20,9,occupied,"[30, 335, 88, 363]"
20,10,occupied,"[22, 363, 90, 392]"
20,11,occupied,"[23, 394, 92, 421]"
20,12,occupied,"[95, 83, 142, 108]"
20,13,occupied,"[88, 108, 155, 141]"
20,14,occupied,"[94, 142, 146, 169]"
20,15,occupied,"[93, 169, 147, 196]"
20,16,occupied,"[92, 195, 143, 220]"
20,17,occupied,"[94, 222, 144, 249]"
20,18,occupied,"[95, 250, 149, 275]"
20,19,occupied,"[94, 278, 156, 308]"
20,20,occupied,"[94, 306, 150, 334]"
20,21,occupied,"[93, 335, 144, 363]"
20,22,occupied,"[101, 360, 170, 391]"
20,23,occupied,"[96, 394, 155, 420]"
20,24,occupied,"[232, 81, 290, 109]"
20,25,occupied,"[231, 109, 292, 137]"
20,26,vacant,"[630, 210, 640, 259]"
20,27,occupied,"[218, 164, 289, 197]"
20,28,occupied,"[223, 196, 288, 225]"
20,29,occupied,"[223, 223, 289, 251]"
20,30,occupied,"[222, 250, 291, 279]"
20,31,occupied,"[226, 278, 290, 303]"
20,32,occupied,"[232, 331, 293, 360]"
20,33,vacant,"[630, 210, 640, 259]"
20,34,occupied,"[232, 386, 292, 415]"
20,35,occupied,"[298, 81, 354, 113]"
20,36,occupied,"[298, 112, 352, 139]"
20,37,occupied,"[294, 139, 348, 168]"
20,38,occupied,"[298, 168, 348, 193]"
20,39,vacant,"[630, 210, 640, 259]"
20,40,occupied,"[296, 220, 349, 250]"
20,41,occupied,"[301, 250, 351, 275]"
20,42,vacant,"[630, 210, 640, 259]"
20,43,vacant,"[630, 210, 640, 259]"
20,44,occupied,"[297, 357, 360, 389]"
20,45,occupied,"[301, 391, 360, 418]"
20,46,occupied,"[435, 104, 494, 136]"
20,47,occupied,"[435, 104, 494, 136]"
20,48,occupied,"[439, 134, 495, 162]"
20,49,occupied,"[440, 163, 494, 192]"
20,50,occupied,"[440, 194, 492, 221]"
20,51,occupied,"[437, 220, 489, 248]"
20,52,occupied,"[443, 272, 507, 304]"
20,53,occupied,"[443, 272, 507, 304]"
20,54,vacant,"[630, 210, 640, 259]"
20,55,occupied,"[438, 331, 494, 360]"
20,56,vacant,"[630, 210, 640, 259]"
20,57,occupied,"[434, 388, 493, 415]"
20,58,vacant,"[630, 210, 640, 259]"
20,59,occupied,"[513, 136, 573, 166]"
20,60,occupied,"[523, 165, 580, 193]"
20,61,occupied,"[520, 192, 576, 219]"
20,62,occupied,"[517, 218, 575, 244]"
20,63,occupied,"[518, 248, 579, 274]"
20,64,occupied,"[520, 277, 580, 304]"
20,65,vacant,"[630, 210, 640, 259]"
20,66,vacant,"[630, 210, 640, 259]"
20,67,occupied,"[524, 356, 582, 385]"
20,68,occupied,"[522, 387, 579, 413]"
40,0,vacant,"[625, 153, 639, 204]"
40,1,occupied,"[11, 111, 81, 144]"
40,2,occupied,"[18, 144, 83, 173]"
40,3,occupied,"[29, 170, 87, 197]"
40,4,occupied,"[25, 197, 85, 221]"
40,5,occupied,"[23, 224, 87, 254]"
40,6,occupied,"[20, 275, 86, 307]"
40,7,occupied,"[20, 275, 86, 307]"
40,8,occupied,"[15, 308, 86, 339]"
40,9,occupied,"[29, 335, 86, 362]"
40,10,occupied,"[19, 362, 88, 392]"
40,11,occupied,"[20, 393, 90, 421]"
40,12,occupied,"[94, 83, 142, 109]"
40,13,occupied,"[87, 108, 160, 141]"
40,14,occupied,"[93, 142, 144, 169]"
40,15,occupied,"[92, 169, 144, 195]"
40,16,occupied,"[91, 194, 140, 219]"
40,17,occupied,"[92, 220, 141, 248]"
40,18,occupied,"[92, 249, 146, 275]"
40,19,occupied,"[92, 277, 153, 308]"
40,20,occupied,"[92, 306, 148, 334]"
40,21,occupied,"[91, 334, 156, 363]"
40,22,occupied,"[100, 360, 170, 390]"
40,23,occupied,"[94, 393, 152, 420]"
40,24,occupied,"[230, 80, 288, 109]"
